content,star,title
"Zero George is a very stylish place that fits very well within its surroundings. Very much the opposite of the faceless chain hotel. Impeccably tasteful interior design within a compound of several small old buildings, with plenty of common space on porches and within the buildings, all full of atmosphere.",3,Zero 
"ZeitgemГ¤Гџe Hotels in den Bergen sind leider selten. Die meisten sind entweder altbacken oder Гјbertreiben in die eine oder andere Richtung. Das Kranzbach ist anders, denn es wirkt schon dank der Mischung aus alter und neuer Bausubstanz, gutem britisch-bayerischen Design und meist angenehm authentischen Mitarbeitern sehr entspannend. Die Lage ist spektakulГ¤r, mit Blick Гјber Wiesen, WГ¤lder und Berge, weit und breit kein Zeichen der Zivilisation. Gute Badeeinrichtungen, sehr hochwertige und durchdachte SanitГ¤rrГ¤ume in den Zimmern (jedenfalls den ganz neuen), hilfreiche Hinweise und gepflegte (Leih-) Ausstattungen fГјr FreizeitaktivitГ¤ten.",4,ZeitgemГ¤Гџe 
"When entering Summerfields, the litchi and macadamia fields are impressive but do not promise much in terms of hospitality. The same applies to the unassuming tree tents that are the rooms. However, the qualities of the place then unfold one after another: The tents are better stocked and more functional and comfortable than most five star chain hotel rooms, the quality of the spa treatments is excellent, the food at dinner must be the best and most sophisticated within a wide radius, breakfast is just impressive, the setting is one of a kind, and relaxation is guaranteed. Highly recommended!",5,When 
What a wonderful hotel to have at the doorstep of the Auckland International Airport. We arrived on a late flight and while I had been told it was just a few steps to the hotel I was very surprised to find it was SO close.,1,What 
"We were welcomed nicely by the front of house. There was no help with the luggage but we did have a trolly. The room was well appointed, nice sitting area and a comfortable bed and pillow.",5,We 
"We were greeted enthusiastically by the front of house staff, We had a very nice room. This is a boutique hotel, not too small but not one the the HUGE impersonal hotels.",1,We 
"We were delighted with the accommodation in Quay West Suites. Our suite was on the 8th floor with two balconies, overlooking the river and in very close proximity to the CBD.",2,We 
"We were booked in to The Garden resort for 3 nights for some R&R. We booked a deluxe suite which wasn&acute;t really deluxe....the whole complex needs much spent on an upgrade, but the bones are good and the staff in our circumstances were very accommodating and helpful.",4,We 
"We were attending a conference here for two days...didn&acute;t stay here. The hotel has some nice/good features, a little dated in places but okay. Conference facilities are very good. Seating in the foyer is plentiful but very uncomfortable...too soft with no support.",4,We 
We visited here after reading the good reviews.,5,We 
"We stayed with Grace and David in August this year, it was lovely. G & D are great hosts and they made it clear that they are there to make you comfortable and happy. We were in the front room of this beautiful Queenslander, the house is filled with character and the walls are well stocked with the couple&acute;s art work which is for sale. Very interesting indeed.",5,We 
"We stayed in the Metropark in October 2009 for two weeks whilst holidaying in HK. It is a little further out from the central tourist hubs around the harbour, but I wouldn&acute;t call it a trek (unless you&acute;re really lazy) - it&acute;s only a ten minute stroll to the Tsim Sha Shui MTR station, there are buses which run regularly outside the hotel to the harbour, and the hotel has a free shuttle service - or, like us, you could walk the forty minutes it takes to get to the harbour and enjoy the sights en-route!",4,We 
We stayed five night here in July. We had a room with three queen beds. The rate was very good. It only has 24 rooms and they are all on one floor. Each room has an assigned parking place. It is right on the strip with plenty of sitting areas. Very nice indoor pool. Plenty of towels in the room. The cleaning staff is very nice and family oriented. Upon check in they give some very good coupons to surrounding shops. Even though it is right on the main road the rooms are very quite. We were never woken up to outside sounds. It is only a very short walking distance to many shops. It is operated by a family who cares about their motel. I am already talking about staying there next year.,1,We 
